pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest,last_name,first_name,title
1,1,1,29.0,0,0,24160.0,211.3375,43,0,2.0,160.8099173553719,"St Louis, MO",Allen, Elisabeth Walton,Miss
1,1,0,0.9167,1,2,113781.0,151.55,79,0,11.0,160.8099173553719,"Montreal, PQ / Chesterville, ON",Allison, Hudson Trevor,Master
1,0,1,2.0,1,2,113781.0,151.55,79,0,13.0,160.8099173553719,"Montreal, PQ / Chesterville, ON",Allison, Helen Loraine,Miss
1,0,0,30.0,1,2,113781.0,151.55,79,0,13.0,135.0,"Montreal, PQ / Chesterville, ON",Allison, Hudson Joshua Creighton,Mr
1,0,1,25.0,1,2,113781.0,151.55,79,0,13.0,160.8099173553719,"Montreal, PQ / Chesterville, ON",Allison, Hudson J C (Bessie Waldo Daniels),Mrs
1,1,0,48.0,0,0,19952.0,26.55,149,0,3.0,160.8099173553719,"New York, NY",Anderson, Harry,Mr
1,1,1,63.0,1,0,13502.0,77.9583,145,0,10.0,160.8099173553719,"Hudson, NY",Andrews, Kornelia Theodosia,Miss
1,0,0,39.0,0,0,112050.0,0.0,15,0,13.0,160.8099173553719,"Belfast, NI",Andrews, Thomas Jr,Mr
1,1,1,53.0,2,0,11769.0,51.4792,61,0,13.0,160.8099173553719,"Bayside, Queens, NY",Appleton, Edward Dale (Charlotte Lamson),Mrs
1,0,0,71.0,0,0,17609.0,49.5042,80,1,13.0,22.0,"Montevideo, Uruguay",Artagaveytia, Ramon,Mr
1,0,0,47.0,1,0,17757.0,227.525,97,1,13.0,124.0,"New York, NY",Astor, John Jacob,Col
1,1,1,18.0,1,0,17757.0,227.525,97,1,4.0,160.8099173553719,"New York, NY",Astor, John Jacob (Madeleine Talmadge Force),Mrs
1,1,1,24.0,0,0,17477.0,69.3,33,1,9.0,160.8099173553719,"Paris, France",Aubart, Leontine Pauline,Mme
1,1,1,26.0,0,0,19877.0,78.85,80,0,6.0,160.8099173553719,"New York, NY",Barber," Ellen ""Nellie""",Miss
1,1,0,80.0,0,0,27042.0,30.0,8,0,13.0,160.8099173553719,"Hessle, Yorks",Barkworth, Algernon Henry Wilson,Mr
1,0,0,29.8811345124283,0,0,17318.0,25.925,80,0,13.0,160.8099173553719,"New York, NY",Baumann, John D,Mr
1,0,0,24.0,0,1,17558.0,247.5208,48,1,13.0,160.8099173553719,"Montreal, PQ",Baxter, Quigg Edmond,Mr
1,1,1,50.0,0,1,17558.0,247.5208,48,1,6.0,160.8099173553719,"Montreal, PQ",Baxter, James (Helene DeLaudeniere Chaput),Mrs
1,1,1,32.0,0,0,11813.0,76.2917,120,1,8.0,160.8099173553719,"New York, NY",Bazzani, Albina,Miss
1,0,0,36.0,0,0,13050.0,75.2417,96,1,13.0,160.8099173553719,"Winnipeg, MN",Beattie, Thomson,Mr
1,1,0,37.0,1,1,11751.0,52.5542,131,0,5.0,160.8099173553719,"New York, NY",Beckwith, Richard Leonard,Mr
1,1,1,47.0,1,1,11751.0,52.5542,131,0,5.0,160.8099173553719,"New York, NY",Beckwith, Richard Leonard (Sallie Monypeny),Mrs
1,1,0,26.0,0,0,111369.0,30.0,77,1,5.0,160.8099173553719,"New York, NY",Behr, Karl Howell,Mr
1,1,1,42.0,0,0,17757.0,227.525,80,1,4.0,160.8099173553719,"New York, NY",Bidois, Rosalie,Miss
1,1,1,29.0,0,0,17483.0,221.7792,115,0,8.0,160.8099173553719,"New York, NY",Bird, Ellen,Miss
1,0,0,25.0,0,0,13905.0,26.0,80,1,13.0,148.0,"San Francisco, CA",Birnbaum, Jakob,Mr
1,1,0,25.0,1,0,11967.0,91.0792,42,1,7.0,160.8099173553719,"Dowagiac, MI",Bishop, Dickinson H,Mr
1,1,1,19.0,1,0,11967.0,91.0792,42,1,7.0,160.8099173553719,"Dowagiac, MI",Bishop, Dickinson H (Helen Walton),Mrs
1,1,1,35.0,0,0,17760.0,135.6333,116,0,8.0,160.8099173553719,"New York, NY",Bissette, Amelia,Miss
